"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80845";"OURO VERDE";"80845";"OURO VERDE";"71";"13";"Vereador";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"240000000205";"OURO VERDE RUMO AO FUTURO";"PSB / PP / PDT / PMDB / PSDB / PSD";"N";"426";"10"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80276";"ARARANGUÁ";"80276";"ARARANGUÁ";"1";"13";"Vereador";"Coligação";"65";"PC do B";"Partido Comunista do Brasil";"240000000458";"JUNTOS PODEMOS MUITO MAIS";"PRB / PSB / PSDB / PC do B / PEN";"N";"573";"4"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"83674";"TUBARÃO";"83674";"TUBARÃO";"33";"11";"Prefeito";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"240000000071";"TUBARÃO QUER MAIS";"PSDB / PMDB / PR / PTC / PMN";"N";"9508";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81671";"ITUPORANGA";"81671";"ITUPORANGA";"39";"13";"Vereador";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"240000000560";"TEMPO NOVO COM A FORÇA DO POVO";"PMDB / PSB / PSC / DEM / PTN / PRB / PSD";"N";"4262";"79"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"82112";"MELEIRO";"82112";"MELEIRO";"42";"13";"Vereador";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"240000000502";"MELEIRO NO CORAÇÃO";"PDT / PMDB / PSD";"N";"71";"7"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81051";"FLORIANÓPOLIS";"81051";"FLORIANÓPOLIS";"100";"13";"Vereador";"Coligação";"43";"PV";"Partido Verde";"240000000090";"VivaCidade";"PSOL / PV / REDE";"N";"369";"27"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80993";"DONA EMMA";"80993";"DONA EMMA";"14";"13";"Vereador";"Coligação";"25";"DEM";"Democratas";"240000001092";"UNIDOS POR UMA DONA EMMA MAIS FORTE";"PP / PMDB / PPS / PDT / DEM";"N";"0";"1"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81051";"FLORIANÓPOLIS";"81051";"FLORIANÓPOLIS";"13";"13";"Vereador";"Coligação";"10";"PRB";"Partido Republicano Brasileiro";"240000000342";"PDT PRB PRTB";"PDT / PRB / PRTB";"N";"1354";"43"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81736";"JAGUARUNA";"81736";"JAGUARUNA";"33";"11";"Prefeito";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"240000001249";"A FORÇA DO POVO";"PMDB / PTB / PR / PSDB";"N";"6455";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80160";"URUPEMA";"80160";"URUPEMA";"28";"11";"Prefeito";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"240000001278";"O PROGRESSO CONTINUA";"PMDB / DEM / PR";"N";"812";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81183";"SÃO PEDRO DE ALCÂNTARA";"81183";"SÃO PEDRO DE ALCÂNTARA";"29";"13";"Vereador";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"240000000715";"PDT/PT/PTB";"PDT / PT / PTB";"N";"764";"12"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81051";"FLORIANÓPOLIS";"81051";"FLORIANÓPOLIS";"100";"13";"Vereador";"Coligação";"23";"PPS";"Partido Popular Socialista";"240000001102";"ACREDITE NA MUDANÇA";"PR / PPS / PTC";"N";"1517";"35"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81590";"ITAIÓPOLIS";"81590";"ITAIÓPOLIS";"38";"13";"Vereador";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"240000000733";"SOMOS POR ITAIOPOLIS";"DEM / PMDB / PSDB";"N";"1097";"20"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81515";"IPUMIRIM";"81515";"IPUMIRIM";"90";"13";"Vereador";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"240000000462";"ALIANÇA DEMOCRÁTICA POR UM IPUMIRIM MAIS";"PMDB / PP / PSDB / PSD";"N";"247";"9"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"82058";"MARAVILHA";"82058";"MARAVILHA";"58";"13";"Vereador";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"240000000378";"COMPROMISSO COM MARAVILHA";"PMDB / PSB / SD";"N";"1161";"12"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80136";"ALFREDO WAGNER";"80136";"ALFREDO WAGNER";"4";"13";"Vereador";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"240000000682";"Alfredo Wagner para todos";"PSD / DEM / PSDB";"N";"614";"16"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80195";"ANITA GARIBALDI";"80195";"ANITA GARIBALDI";"52";"13";"Vereador";"Coligação";"11";"PP";"Partido Progressista";"240000000316";"TRABALHO, SEGURANÇA E CONFIANÇA PARA CRESCERMOS JUNTOS";"PSB / PP / PSD / PTB";"N";"235";"24"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81574";"ITÁ";"81574";"ITÁ";"61";"13";"Vereador";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"240000000192";"ITA DO BEM";"PSDB / PR / PSB";"N";"996";"54"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80098";"ÁGUAS DE CHAPECÓ";"80098";"ÁGUAS DE CHAPECÓ";"70";"13";"Vereador";"Coligação";"23";"PPS";"Partido Popular Socialista";"240000000641";"AS PESSOAS EM PRIMEIRO LUGAR - UNIDOS PARA O DESENVOLVIMENTO";"PMDB / DEM / PPS";"N";"226";"11"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81205";"SANTIAGO DO SUL";"81205";"SANTIAGO DO SUL";"78";"13";"Vereador";"Coligação";"13";"PT";"Partido dos Trabalhadores";"240000000356";"FAZER MAIS POR SANTIAGO DO SUL";"PSD / PP / PT";"N";"125";"4"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"83925";"PESCARIA BRAVA";"83925";"PESCARIA BRAVA";"20";"13";"Vereador";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"240000001159";"MUDAR PARA CRESCER";"PP / PMDB";"N";"1533";"78"
